permutation_index,master_seed,permutation_eligible_identities,structurally_fixed_identities,actually_reassigned_identities,all_2300_destination_rows_filled_once,all_2300_source_rows_used_once,category_preserved,block_size_preserved,singleton_strata_fixed,macro_f1_L,macro_f1_L_plus_G_permuted,delta_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G_permuted,delta_balanced_accuracy,max_iterations_L_plus_G,converged_L_plus_G
145,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7556602140063863,0.017640183418158983,0.7417391304347827,0.7591304347826088,0.017391304347826098,35,True
146,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7573262675594793,0.019306236971252,0.7417391304347827,0.7608695652173914,0.019130434782608674,35,True
147,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7505821078736198,0.012562077285392492,0.7417391304347827,0.7539130434782608,0.012173913043478146,34,True
148,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.7589464021645727,0.02092637157634536,0.7417391304347827,0.7621739130434783,0.02043478260869558,33,True
149,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7624462933523065,0.02442626276407922,0.7417391304347827,0.7660869565217393,0.024347826086956625,35,True
150,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7473017353164586,0.00928170472823131,0.7417391304347827,0.751304347826087,0.009565217391304337,36,True
151,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7535716222497729,0.015551591661545627,0.7417391304347827,0.757391304347826,0.0156521739130433,33,True
152,20260822,228,2,210,True,True,True,True,True,0.7380200305882273,0.7454382566164592,0.0074182260282319445,0.7417391304347827,0.7495652173913044,0.00782608695652176,36,True
153,20260822,228,2,219,True,True,True,True,True,0.7380200305882273,0.7488882340222967,0.010868203434069357,0.7417391304347827,0.7517391304347827,0.010000000000000009,34,True
154,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7447372123818685,0.006717181793641225,0.7417391304347827,0.7482608695652174,0.006521739130434745,33,True
155,20260822,228,2,209,True,True,True,True,True,0.7380200305882273,0.750548489851258,0.0125284592630307,0.7417391304347827,0.7547826086956523,0.013043478260869601,31,True
156,20260822,228,2,200,True,True,True,True,True,0.7380200305882273,0.7505983053628273,0.012578274774600051,0.7417391304347827,0.7543478260869566,0.012608695652173929,33,True
157,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7548779845520805,0.016857953963853256,0.7417391304347827,0.7582608695652174,0.016521739130434754,34,True
158,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7544610906780429,0.016441060089815607,0.7417391304347827,0.7578260869565218,0.016086956521739082,37,True
159,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7512775026811612,0.01325747209293393,0.7417391304347827,0.7547826086956523,0.013043478260869601,34,True
160,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7552656787619906,0.017245648173763284,0.7417391304347827,0.7586956521739132,0.016956521739130537,34,True
161,20260822,228,2,209,True,True,True,True,True,0.7380200305882273,0.7548327771831075,0.01681274659488019,0.7417391304347827,0.7586956521739132,0.016956521739130537,35,True
162,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7527653759087388,0.014745345320511527,0.7417391304347827,0.7565217391304347,0.014782608695652066,33,True
163,20260822,228,2,193,True,True,True,True,True,0.7380200305882273,0.7584447737926917,0.020424743204464413,0.7417391304347827,0.7621739130434783,0.02043478260869558,37,True
164,20260822,228,2,193,True,True,True,True,True,0.7380200305882273,0.7462673440568764,0.008247313468649153,0.7417391304347827,0.7504347826086956,0.008695652173912882,35,True
165,20260822,228,2,200,True,True,True,True,True,0.7380200305882273,0.758318318828302,0.020298288240074736,0.7417391304347827,0.7613043478260869,0.019565217391304235,35,True
166,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7527488985239235,0.014728867935696166,0.7417391304347827,0.7569565217391303,0.015217391304347627,36,True
167,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7482943202591921,0.010274289670964776,0.7417391304347827,0.7521739130434782,0.01043478260869557,34,True
168,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7527107780053257,0.014690747417098415,0.7417391304347827,0.7565217391304349,0.014782608695652177,36,True
169,20260822,228,2,194,True,True,True,True,True,0.7380200305882273,0.7559477528272428,0.01792772223901551,0.7417391304347827,0.7591304347826088,0.017391304347826098,35,True
170,20260822,228,2,209,True,True,True,True,True,0.7380200305882273,0.7522264956022695,0.014206465014042213,0.7417391304347827,0.7556521739130434,0.013913043478260723,32,True
171,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7534276427985983,0.015407612210371013,0.7417391304347827,0.7569565217391306,0.01521739130434796,36,True
172,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7476820249086894,0.009661994320462108,0.7417391304347827,0.7517391304347826,0.009999999999999898,35,True
173,20260822,228,2,203,True,True,True,True,True,0.7380200305882273,0.7503598311242143,0.012339800535987044,0.7417391304347827,0.7543478260869567,0.01260869565217404,38,True
174,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7471678538859713,0.009147823297743995,0.7417391304347827,0.751304347826087,0.009565217391304337,31,True
175,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7529444955982957,0.014924465010068388,0.7417391304347827,0.756086956521739,0.014347826086956283,36,True
176,20260822,228,2,198,True,True,True,True,True,0.7380200305882273,0.7452723785027935,0.007252347914566193,0.7417391304347827,0.7486956521739131,0.006956521739130417,35,True
177,20260822,228,2,213,True,True,True,True,True,0.7380200305882273,0.7437403066710119,0.005720276082784581,0.7417391304347827,0.7469565217391304,0.005217391304347729,35,True
178,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7488791327204949,0.010859102132267595,0.7417391304347827,0.7534782608695653,0.011739130434782585,36,True
