bootstrap_rep,n_rows,macro_f1_M,macro_f1_M_plus_G,delta_macro_f1_G_given_M,balanced_accuracy_M,balanced_accuracy_M_plus_G,delta_balanced_accuracy_G_given_M
786,2301,0.30098325916112717,0.316082288173804,0.015099029012676846,0.3024278949634094,0.31762376237623763,0.015195867412828246
787,2301,0.30549732039898975,0.30404336550076055,-0.0014539548982291928,0.3037752905725356,0.305053809728799,0.001278519156263369
788,2301,0.2969192057433444,0.31753040791507947,0.020611202171735066,0.2950538097287989,0.3163495479982781,0.02129573826947917
789,2300,0.3016735005128356,0.33367193863568945,0.031998438122853856,0.30086956521739133,0.33304347826086955,0.03217391304347822
790,2298,0.29854065187486173,0.3264762882117984,0.027935636336936687,0.29817213842058565,0.3273824312333629,0.02921029281277726
791,2300,0.28597760650932175,0.31453680072790907,0.028559194218587325,0.2847826086956522,0.3139130434782609,0.029130434782608683
792,2301,0.2972993072904366,0.32263936833752693,0.025340061047090356,0.2937795953508395,0.32418424451140765,0.030404649160568176
793,2301,0.3033921476613064,0.32033638562664,0.01694423796533362,0.30372793801119247,0.31762806715454156,0.013900129143349094
794,2299,0.3038099479838057,0.332294701317748,0.028484753333942348,0.30668862538427755,0.3314975845410628,0.02480895915678527
795,2303,0.2812999574654647,0.31122601219984886,0.029926054734384144,0.2826129168425496,0.3112199240185733,0.028607007176023713
796,2298,0.2925538432474215,0.3266012843279577,0.0340474410805362,0.2929103815439219,0.3277551020408164,0.03484472049689452
797,2297,0.2812912090160025,0.31792870095080494,0.036637491934802424,0.28309278350515465,0.3162707306140744,0.03317794710891975
798,2299,0.29630562893764806,0.3234626663443523,0.02715703740670422,0.2936275801493193,0.32103205972771187,0.027404479578392593
799,2300,0.29316814168249433,0.332718537399716,0.03955039571722169,0.2934782608695653,0.33304347826086955,0.03956521739130425
800,2298,0.3013667925909605,0.3183663894176959,0.016999596826735408,0.30283939662821646,0.3194498669032831,0.016610470275066624
801,2300,0.3061239807095482,0.3276936958887312,0.02156971517918299,0.3069565217391304,0.32869565217391306,0.02173913043478265
802,2301,0.2848505566809004,0.3178965801558083,0.03304602347490787,0.284640551011623,0.3163495479982781,0.03170899698665508
803,2300,0.28739181888716603,0.32384692277712285,0.03645510388995682,0.2891304347826087,0.3226086956521739,0.033478260869565235
804,2304,0.27190454200849323,0.2983215552857997,0.026417013277306445,0.27301003344481606,0.29911371237458195,0.026103678929765894
805,2301,0.2998774090903236,0.31675489978512517,0.016877490694801545,0.2994231597072751,0.3159319845027981,0.01650882479552296
806,2301,0.29588665467195513,0.3241629781243459,0.028276323452390784,0.2941842445114077,0.3224321997417133,0.0282479552303056
807,2301,0.28481626885221817,0.31501358995612266,0.030197321103904495,0.28765820060266895,0.3150107619457598,0.02735256134309083
808,2299,0.30230723993058833,0.3336791008332106,0.031371860902622284,0.3010144927536232,0.3306060606060607,0.029591567852437495
809,2298,0.29407450777941124,0.31442265559079713,0.020348147811385886,0.29460514640638863,0.3151020408163266,0.02049689440993796
810,2300,0.30315431168328527,0.33527250582694407,0.032118194143658796,0.3073913043478261,0.33695652173913043,0.029565217391304355
811,2298,0.31115667824408805,0.3287395749712737,0.01758289672718566,0.312058562555457,0.3291038154392192,0.017045252883762185
812,2302,0.30780040337371034,0.3203491796473836,0.012548776273673234,0.309693094629156,0.3214066496163682,0.011713554987212216
813,2301,0.28149503345807814,0.29738776424988694,0.015892730791808807,0.28076625053809734,0.2963839862247095,0.015617735686612177
814,2299,0.29346037898985616,0.3219503519729342,0.028489972983078038,0.2940623627580149,0.3210496267018007,0.02698726394378581
815,2299,0.30205971334048026,0.3396697337355979,0.03761002039511763,0.3019104084321476,0.3380281071585419,0.03611769872639431
816,2301,0.30339302585371397,0.3155161068211211,0.012123080967407107,0.30546706844597504,0.3158588032716315,0.010391734825656473
817,2300,0.31625875961714306,0.32685847380455857,0.01059971418741551,0.3173913043478261,0.3278260869565217,0.010434782608695625
818,2296,0.27801323149770113,0.3130999271794449,0.035086695681743774,0.280072463768116,0.3141485507246377,0.0340760869565217
819,2299,0.2940010650607065,0.30679827779105556,0.012797212730349061,0.29491875274483975,0.3075713658322354,0.012652613087395626
820,2299,0.29794111310290966,0.3245745308479114,0.02663341774500172,0.29929292929292933,0.32630215195432594,0.027009222661396604
821,2302,0.2777432070567324,0.3116507409564819,0.03390753389974949,0.27628303495311174,0.3097186700767263,0.03343563512361458
822,2301,0.3067192397510312,0.3237633898075032,0.017044150056471974,0.30684459750322857,0.32289281102023243,0.016048213517003862
823,2300,0.31150622268425127,0.32832194476835125,0.016815722084099982,0.3134782608695652,0.32782608695652177,0.014347826086956561
824,2301,0.2879297798591208,0.2998114513370751,0.01188167147795427,0.28895824365045203,0.30111493758071456,0.01215669393026253
